#ID,name,HMDB_ID,CAS,kingdom(HMDB),super_class(HMDB),class(HMDB),sub_class(HMDB)
pos_11114,Alfuzosin,HMDB0014490,81403-80-7,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines
pos_11115,LysoPC(16:0/0:0),HMDB0010382,17364-16-8,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
pos_11126,Butyryl trihexyl citrate,HMDB0247498,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tetracarboxylic acids and derivatives
pos_11136,Isoprene,HMDB0253673,--,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons
pos_11145,Barogenin,HMDB0034403,64161-55-3,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
pos_11151,Citrusin III,HMDB0303682,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_11155,Carvyl acetate,HMDB0038046,97-42-7,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
pos_11163,Acetoacetate,HMDB0304256,--,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
pos_11164,3alpha-Hydroxynorethynodrel,HMDB0246253,--,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
pos_11166,Mangalkanyl glucoside,HMDB0036015,259144-63-3,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
pos_11173,17-Dimethylaminogeldanamycin,HMDB0244766,--,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,--
pos_11176,S-(9-deoxy-delta12-PGD2)-glutathione,HMDB0013057,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_11181,Tenuifolin,HMDB0258821,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides
