"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant"
"SRPRB",-0.906747793419293,7.8715094346081,-8.14401825788622,2.61012061716462e-11,9.56536914220385e-10,15.4832329941309,"Down"
"LOC728499",-1.42589037345947,8.62542241936412,-8.14183866634006,2.6326467028344e-11,9.63387745404031e-10,15.4747596733529,"Down"
"SFRS6",-0.81829014663281,10.2959884993041,-8.13627054690141,2.69108191918741e-11,9.83340108261214e-10,15.4531125665794,"Down"
"RBBP7",-1.18417835182989,7.41970551172105,-8.13046300465661,2.75341529075769e-11,1.00383898773688e-09,15.4305336915157,"Down"
"LOC285550",0.853880768475739,6.7138058153395,8.13030173959646,2.75516667278619e-11,1.00383898773688e-09,15.4299067025537,"Up"
"LOC390354",-1.18553170542286,12.0727677068813,-8.12924951363317,2.76662157131112e-11,1.00448478277006e-09,15.425815692122,"Down"
"PELP1",-0.999403236380725,6.76921669718552,-8.12903837593675,2.76892583317284e-11,1.00448478277006e-09,15.4249947937549,"Down"
"MID1IP1",-0.878875063017365,8.88713076242779,-8.12522661329193,2.81085808328718e-11,1.0182272653291e-09,15.4101745299161,"Down"
"LOC347544",-1.00384002525125,10.8128508873177,-8.11959388385813,2.87399026674107e-11,1.0381051049694e-09,15.3882735233655,"Down"
"AARS",-0.943532680729267,8.58365192118877,-8.11108857318657,2.97202194656692e-11,1.07043885009588e-09,15.3552017336465,"Down"
"GOLGA8B",-1.39910695049129,7.95600302564715,-8.10734944951086,3.01617266228598e-11,1.08478656265908e-09,15.3406619999224,"Down"
"CENPB",-0.882939002205182,9.34751491161349,-8.1046128572627,3.04890173968989e-11,1.09499128194005e-09,15.33002040517,"Down"
"NDUFB7",0.955443940682374,8.35772184841484,8.09815602178549,3.12754168658308e-11,1.12163192583022e-09,15.3049113474463,"Up"
"BCAS4",-0.91533751091193,6.76552293572968,-8.09383428745815,3.18130992891001e-11,1.13928962411393e-09,15.288104544804,"Down"
"TGFA",1.05436012575154,7.11202640060982,8.09305664701699,3.19108270980377e-11,1.141163859523e-09,15.2850803237006,"Up"
"FBXL5",0.946812496153436,8.79930947393796,8.09047130577052,3.22379005631016e-11,1.14958981582464e-09,15.2750258902216,"Up"
"CD79B",-1.48882631923219,8.57568203604015,-8.08871538732608,3.24619566905322e-11,1.15593993087816e-09,15.2681969936007,"Down"
"DBI",1.35768668177407,8.12201967304536,8.08663456470923,3.27294919158753e-11,1.1638181425249e-09,15.2601044146287,"Up"
"HNRPR",-0.856475365142272,9.12699324115786,-8.07885605534667,3.37493050340315e-11,1.19501060359937e-09,15.2298518107464,"Down"
"AUTS2",-1.54760081650066,6.86415138241458,-8.07814355757223,3.38442952447054e-11,1.19668858291405e-09,15.2270806464126,"Down"
"FAM38A",-1.0481161404354,8.3280879864546,-8.06858333996791,3.51450829987163e-11,1.2409373407131e-09,15.1898961990864,"Down"
"LOC642788",1.03042541159788,6.73174176637174,8.06207680075638,3.60589145586006e-11,1.27141810940143e-09,15.1645876973795,"Up"
"ZNF275",-1.07058598484119,7.04274252996301,-8.05110150343808,3.76546506432303e-11,1.32396911492421e-09,15.121894664896,"Down"
"UBR4",0.969976177332389,8.1694861077432,8.0302224227898,4.0888285351022e-11,1.43365619766345e-09,15.0406686644377,"Up"
